State;pollster;end_date;method;source;affiliation;survey_houses;sponsors;questions;VoterStats;VoterStatsNum;Candidate1;Percent1;Candidate2;Percent2;Candidate3;Percent3;Candidate4;Percent4;Candidate5;Percent5;Candidate6;Percent6;Candidate7;Percent7;Candidate8;Percent8;Candidate9;Percent9
TN;We Ask America;2012-03-04;Automated Phone;http://weaskamerica.com/2012/03/05/volunteer-surge/;None;|We Ask America||N/A|;;2012 Tennessee GOP Primary;Likely Voters - Republican;1188;Romney;30;Gingrich;29;Paul;12;Santorum;29;;;;;;;;;;
TN;PPP (D);2012-03-04;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_SuperTuesday_305.pdf;Dem;|Public Policy Polling (D)||Dem|;;2012 Tennessee GOP Primary;Likely Voters - Republican;626;Romney;29;Gingrich;27;Paul;8;Santorum;34;Undecided;2;;;;;;;;
TN;ARG;2012-03-03;Live Phone;http://americanresearchgroup.com/pres2012/primary/rep/tn/;None;|American Research Group||N/A|;;2012 Tennessee GOP Primary;Likely Voters - Republican;600;Romney;31;Gingrich;20;Paul;9;Santorum;35;Other;1;Undecided;4;;;;;;
TN;Rasmussen;2012-03-03;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/tennessee/2012_tennessee_republican_primary;None;|Rasmussen Reports||N/A|;;2012 Tennessee GOP Primary;Likely Voters - Republican;750;Romney;30;Gingrich;18;Paul;8;Santorum;34;;;;;;;;;;
TN;MTSU;2012-02-25;Live Phone;http://mtsusurveygroup.org/wp-content/uploads/2012/02/MTSU_Poll_Spring2012_Report_final2.pdf;None;|Middle Tennessee State University||N/A|;;2012 Tennessee GOP Primary;Adults - Republican;196;Romney;19;Gingrich;13;Paul;11;Santorum;40;;;;;;;;;;
TX;WPA;2012-03-13;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2010/election_2010_governor_elections/texas/election_2010_texas_governor;Rep;|WPA||Rep|;;2012 Texas GOP Primary;Likely Voters;750;Romney;27;Gingrich;20;Paul;8;Santorum;35;Undecided;10;;;;;;;;
TX;Rasmussen;2012-03-12;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2010/election_2010_governor_elections/texas/election_2010_texas_governor;None;|Rasmussen Reports||N/A|;;2012 Texas GOP Primary;Likely Voters;750;Romney;32;Gingrich;19;Paul;9;Santorum;30;Other;3;Undecided;7;;;;;;
TX;PPP (D);2010-10-28;Automated Phone;http://www.publicpolicypolling.com/pdf/PPP_Release_FLMEMNTXWVWI_1111.pdf;Dem;|Public Policy Polling (D)||Dem|;;2012 Texas GOP Primary;Likely Voters - Republican;254;Romney;15;Daniels;2;Gingrich;15;Huckabee;20;Palin;22;Pawlenty;3;Pence;3;Thune;1;;
TX;PPP (D);2010-06-20;Automated Phone;http://www.publicpolicypolling.com/pdf/PPP_Release_PATX_625.pdf;Dem;|Public Policy Polling (D)||Dem|;;2012 Texas GOP Primary;Likely Voters - Republican;500;Romney;18;Gingrich;25;Huckabee;22;Palin;17;Undecided;8;;;;;;;;
VA;NBC/Marist;2012-03-02;Live Phone;http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/120304NBCMaristVirginiaMarch2012.pdf;None;|Marist College||N/A|;|NBC News||N/A|;2012 Virginia GOP Primary;Likely Voters - Republican;529;Romney;69;Paul;26;Undecided;6;;;;;;;;;;;;
VA;PPP (D);2011-07-24;Automated Phone;http://publicpolicypolling.typepad.com/pdf/2011/PPP_Release_VA_801.pdf;Dem;|Public Policy Polling (D)||Dem|;;2012 Virginia GOP Primary;Likely Voters - Republican;400;Romney;16;Bachmann;15;Cain;10;Gingrich;6;Huntsman;1;Palin;13;Paul;6;Pawlenty;2;Undecided;11
VA;Roanoke College;2012-02-28;Live Phone;http://roanoke.edu/News_and_Events/Campus_News/RC_Poll_March_2011_Republican_primary.htm;None;|Roanoke College||N/A|;;2012 Virginia GOP Primary;Likely Voters - Republican;377;Romney;56;Paul;21;;;;;;;;;;;;;;
WI;We Ask America;2012-04-01;Automated Phone;http://weaskamerica.com/2012/02/21/az-romney-for-now/;None;|We Ask America||N/A|;;2012 Wisconsin GOP Primary;Likely Voters - Republican;1173;Romney;39;Gingrich;15;Paul;16;Santorum;31;;;;;;;;;;
WI;Rasmussen;2012-03-29;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/wisconsin/2012_wisconsin_republican_primary;None;|Rasmussen Reports||N/A|;;2012 Wisconsin GOP Primary;Likely Voters - Republican;717;Romney;44;Gingrich;7;Paul;7;Santorum;34;Other;2;Undecided;6;;;;;;
WI;PPP (D);2012-04-01;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_WIMD_401.pdf;Dem;|Public Policy Polling (D)||Dem|;;2012 Wisconsin GOP Primary;Likely Voters - Republican;609;Romney;43;Gingrich;8;Paul;11;Santorum;36;Undecided;2;;;;;;;;
WI;NBC/Marist;2012-03-27;Live Phone;http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/NBCNews-MaristPollWisconsinAnnotatedQuestionnaire_March%202012.pdf;None;|Marist College||N/A|;|NBC News||N/A|;2012 Wisconsin GOP Primary;Likely Voters - Republican;740;Romney;40;Gingrich;8;Paul;11;Santorum;33;Undecided;7;;;;;;;;
WI;PPP (D);2012-02-26;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_WI_030112.pdf;Dem;|Public Policy Polling (D)||Dem|;;2012 Wisconsin GOP Primary;Likely Voters - Republican;556;Romney;27;Gingrich;10;Paul;8;Santorum;43;Undecided;12;;;;;;;;
WI;PPP (D);2011-10-23;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_NVWI_1025.pdf;Dem;|Public Policy Polling (D)||Dem|;;2012 Wisconsin GOP Primary;Likely Voters - Republican;650;Romney;18;Bachmann;5;Cain;30;Gingrich;12;Huntsman;1;Johnson;1;Paul;8;Perry;12;Undecided;12
WI;Rasmussen;2012-03-21;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/wisconsin/2012_wisconsin_republican_primary;None;|Rasmussen Reports||N/A|;;2012 Wisconsin GOP Primary;Likely Voters - Republican;1000;Romney;46;Gingrich;7;Paul;8;Santorum;33;Other;1;Undecided;5;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
